user_id,gender,age,age_group,mod_price,price_group,fre_city,fre_community_type,fre_city_level
1,M,61,60+,1999,1001-2000,开封,乡村,四线城市
2,F,52,46-60,1199,1001-2000,滁州,城区,三线城市
3,F,22,19-25,899,<=1000,广安,乡村,五线城市
4,M,53,46-60,1398,1001-2000,铁岭,镇区,五线城市
5,M,75,60+,1469,1001-2000,青岛,unknown,新一线城市
6,M,73,60+,1299,1001-2000,石家庄,乡村,二线城市
8,M,52,46-60,699,<=1000,太原,unknown,二线城市
9,F,38,36-45,899,<=1000,陵水黎族自治县,乡村,五线城市
10,F,31,26-35,1899,1001-2000,西安,unknown,新一线城市
11,M,55,46-60,1299,1001-2000,四平,unknown,五线城市
12,M,73,60+,2499,2001-4000,大理白族自治州,乡村,四线城市
13,F,42,36-45,1548,1001-2000,兴安盟,unknown,五线城市
14,M,57,46-60,1548,1001-2000,淄博,unknown,三线城市
16,M,67,60+,16999,7000+,北京,城区,一线城市
17,F,35,26-35,1398,1001-2000,阜新,乡村,五线城市
18,M,32,26-35,1099,1001-2000,凉山彝族自治州,乡村,五线城市
19,F,58,46-60,1799,1001-2000,黄石,乡村,四线城市
20,M,36,36-45,1199,1001-2000,菏泽,unknown,四线城市
21,M,76,60+,1279,1001-2000,石家庄,城区,二线城市
23,M,72,60+,1299,1001-2000,大连,unknown,二线城市
24,M,41,36-45,1899,1001-2000,长沙,unknown,新一线城市
25,F,36,36-45,999,<=1000,池州,乡村,五线城市
26,M,58,46-60,499,<=1000,柳州,unknown,三线城市
27,M,32,26-35,1556,1001-2000,商洛,unknown,五线城市
28,F,40,36-45,3399,2001-4000,桂林,unknown,三线城市
29,F,34,26-35,1599,1001-2000,文山壮族苗族自治州,unknown,五线城市
30,F,70,60+,2699,2001-4000,崇左,乡村,五线城市
31,F,49,46-60,1099,1001-2000,湛江,unknown,三线城市
32,M,56,46-60,1668,1001-2000,阳江,unknown,四线城市
33,F,33,26-35,799,<=1000,东莞,镇区,新一线城市
35,M,72,60+,1398,1001-2000,北海,乡村,四线城市
37,M,28,26-35,1068,1001-2000,娄底,乡村,四线城市
38,M,57,46-60,1068,1001-2000,德州,乡村,四线城市
39,M,36,36-45,699,<=1000,普洱,乡村,五线城市
40,M,58,46-60,3199,2001-4000,呼伦贝尔,乡村,五线城市
41,F,60,46-60,899,<=1000,济宁,unknown,三线城市
42,F,39,36-45,2699,2001-4000,枣庄,城区,四线城市
43,M,31,26-35,1688,1001-2000,拉萨,乡村,四线城市
44,M,29,26-35,1298,1001-2000,孝感,城区,四线城市
46,F,39,36-45,1798,1001-2000,商洛,unknown,五线城市
47,M,61,60+,1498,1001-2000,楚雄彝族自治州,乡村,五线城市
48,M,52,46-60,1068,1001-2000,昭通,乡村,五线城市
49,F,51,46-60,1199,1001-2000,大连,城区,二线城市
50,M,66,60+,1798,1001-2000,吉林,乡村,三线城市
51,M,54,46-60,3199,2001-4000,济宁,镇区,三线城市
52,M,57,46-60,1068,1001-2000,滨州,乡村,四线城市
53,M,78,60+,1398,1001-2000,烟台,unknown,二线城市
54,M,51,46-60,2399,2001-4000,石家庄,unknown,二线城市
55,M,35,26-35,1068,1001-2000,吴忠,乡村,五线城市
56,M,79,60+,1068,1001-2000,呼和浩特,乡村,三线城市
57,M,34,26-35,17799,7000+,长治,unknown,五线城市
58,M,56,46-60,1599,1001-2000,渭南,城区,四线城市
59,M,52,46-60,1699,1001-2000,银川,unknown,三线城市
60,M,58,46-60,1599,1001-2000,杭州,城区,新一线城市
61,F,75,60+,1348,1001-2000,呼和浩特,城区,三线城市
62,F,53,46-60,1099,1001-2000,包头,镇区,三线城市
63,F,47,46-60,3999,2001-4000,来宾,乡村,五线城市
64,M,51,46-60,1699,1001-2000,赤峰,城区,四线城市
65,F,64,60+,5269,4001-7000,榆林,unknown,四线城市
66,M,39,36-45,1400,1001-2000,珠海,城区,二线城市
67,M,57,46-60,1299,1001-2000,苏州,unknown,新一线城市
68,F,60,46-60,1199,1001-2000,贵港,乡村,五线城市
69,M,61,60+,1149,1001-2000,菏泽,乡村,四线城市
70,M,44,36-45,1699,1001-2000,太原,乡村,二线城市
72,F,28,26-35,2399,2001-4000,驻马店,乡村,四线城市
73,M,72,60+,1599,1001-2000,防城港,unknown,五线城市
74,M,61,60+,6499,4001-7000,三明,unknown,三线城市
76,M,33,26-35,1548,1001-2000,郑州,unknown,新一线城市
77,M,54,46-60,999,<=1000,西安,城区,新一线城市
