pid,author_id,category_id,category_level,parent_id,root_id,root_name_cn,root_name_en,duration,author_fans_count,title,tag_name
6004,1742635660,12,1,12,12,美食, gourmet,137.2,74428,俄罗斯人口很少的原因是什么?,导游带你游中国|导游讲解|涨知识
37412,2875950346,10,1,10,10,旅游, travel,128.6,803293,中国最大的村,新疆|导游带你游中国|村庄
63980,1975110660,7,1,7,7,运动, movement,112.0,29625,老外赛场偷袭我国选手硬汉王彦博勇猛出击KO,综合格斗|格斗|快手热点
1383,2888498041,39,1,39,39,影视和短剧, films and short plays,271.36,110105,老人救回落难犬却改变几家人却难点头像看全集,持续关注持续精彩|影视解说
2349,1303041880,14,1,14,14,教育, education,7.666,5455,中国周边国家用什么吃饭,生活小贴士|书语|每天学习一点点
2448,2836327508,19,1,19,19,情感, emotion,153.616,50287,夫妻生活被孩子撞见你知道怎么化解吗,夫妻情感问题|夫妻关系|快手热点
2614,2823631160,39,1,39,39,影视和短剧, films and short plays,172.56599999999997,288434,保姆为了成为女主人竟偷偷给雇主吃睡眠药这种保姆真是太坏了,夫妻情感问题|家庭婚姻情感|影视解说
3847,2814304151,2,1,2,2,音乐, music,200.466,96970,没有时间照顾我我年龄也大了现在我也不能,家庭|人性|生活
4327,869047049,21,1,21,21,历史, history,285.766,30225,毛主席的让人泪下的晚年毛主席的,支持快手传递正能量
4762,339194475,25,1,25,25,亲子, parent-child,6.033,23753,我国大学的世界排名父母替孩子收藏,知识分享|涨知识
5758,410620714,11,1,11,11,生活, life,9.633,579980,接侧后打新套餐,踢毽子|作品推广
5784,2903552580,21,1,21,21,历史, history,7.32,57346,一代伟人毛泽东振我中华.扬我国威感谢关注,中国强大|民族自豪|中国建党101年
8416,1296275447,22,1,22,22,财经, Finance,113.633,1807203,各省基础养老金排行你的省份能领多少?,养老金|社保
10489,1195559127,22,1,22,22,财经, Finance,200.05,930628,以后涨养老金将不和工龄挂钩是真的吗,老人|三农|农村
11939,173034811,19,1,19,19,情感, emotion,17.166,579820,年龄差距也不重要,我在快手整活
12235,340369428,7,1,7,7,运动, movement,263.416,1905120,虎背熊腰,周杰伦让大家交作业|快手暴汗健身房
12252,1337711261,12,1,12,12,美食, gourmet,8.55,9856,这样做丸子更好吃,好吃|家常美食|炸丸子
13246,1943710191,16,1,16,16,健康, healthy,57.066,15328,在今年两会上国学院教授,政策|医疗|老百姓
31586,2122328163,22,1,22,22,财经, Finance,66.6,1633351,第一名竟然是它,你财知道|财富密码在人间|财经
32508,2720620636,13,1,13,13,三农, agriculture,28.461,26038,来快手学农技,快手农技人|快手三农|竹笋
32808,453743523,9,1,9,9,搞笑, funny,45.4,1074075,别睡了,感谢老铁们一路支持与陪伴|我在快手整活
34937,2604170717,16,1,16,16,健康, healthy,45.066,261996,容易感染阴道炎?这样预防,预防大于治疗|医学科普|yin道炎
35079,2948765889,39,1,39,39,影视和短剧, films and short plays,37.366,299177,亿万老总去吃面一尝味道很熟悉竟是失散的妻子做的,快手放映室|暑期不断片|快手热点
37131,2954857382,16,1,16,16,健康, healthy,94.68,32458,新鲜的无花果一定要多吃,传承中医文化|爱生活爱养生爱中医|中医调理
38711,1346440446,2,1,2,2,音乐, music,100.433,490255,电视剧演员三德子,我在快手整活|音乐|音乐分享
39485,439846627,4,1,4,4,美妆, beauty,20.366,715599,学生头修剪底坐教程,我的护肤经验
40389,2947394003,39,1,39,39,影视和短剧, films and short plays,58.54,242259,富二代嫌弃饭菜难吃竟直接当团长面扔掉馒头下秒团长教他做人,号手就位|我在快手追好剧
46816,2893808061,6,1,6,6,明星娱乐, Star Entertainment,77.3,19235,结婚三十多年0绯闻看他妻子是谁就知道了,八卦|娱乐
56151,2893808061,28,1,28,28,资讯, information,117.3,18556,原央视结婚9月妻子瘫痪23年相守儿女双全,娱乐|八卦
62928,1420251276,2,1,2,2,音乐, music,159.7,12843,云飞深情演唱,云飞演唱
63132,256774101,2,1,2,2,音乐, music,53.0,196191,《送别》,音乐|爱音乐爱快手
65135,1349520360,2,1,2,2,音乐, music,17.0,712935,《咱老百姓》刘大成,我在快手整活|刘大成|音乐
