antecedent,consequent,support_count,support,confidence,lift
tag=一人分饰多角,behavior=like,20,0.00019667617268167962,0.10695187165775401,5.254075279650727
age_group=19-25 & theme=20,behavior=like,49,0.00048185662307011505,0.07291666666666667,3.582075281803543
tag=捕娱计划,behavior=like,24,0.00023601140721801555,0.07058823529411765,3.4676896845694802
age_group=19-25 & theme=19,behavior=like,24,0.00023601140721801555,0.06936416184971098,3.407556337438217
age_group=19-25 & city_level=二线城市,behavior=like,203,0.001996263152719048,0.06911814776983316,3.3954707472049925
age_group=19-25 & theme=6,behavior=like,58,0.0005703609007768709,0.06847697756788666,3.363972873854297
age_group=19-25 & theme=17,behavior=like,24,0.00023601140721801555,0.06575342465753424,3.2301766924756796
city_level=二线城市 & theme=20,behavior=like,23,0.00022617759858393157,0.06406685236768803,3.147322810275457
age_group=19-25 & theme=2,behavior=like,28,0.00027534664175435147,0.0625,3.070350241545894
city_level=四线城市 & theme=20,behavior=like,42,0.0004130199626315272,0.06025824964131994,2.9602229014617514
age_group=19-25 & city_level=一线城市,behavior=like,31,0.0003048480676566034,0.056363636363636366,2.7688976723759335
gender=F & theme=20,behavior=like,71,0.0006982004130199626,0.05512422360248447,2.708010772046689
age_group=19-25 & gender=F,behavior=like,355,0.003491002065099813,0.053496081977094635,2.6280273315221034
age_group=19-25 & city_level=四线城市,behavior=like,184,0.0018094207886714525,0.05331787887568821,2.619272996554944
age_group=19-25 & theme=9,behavior=like,97,0.0009538794375061461,0.051899411449973246,2.5495899277042415
gender=F & tag=娱乐,behavior=effective_view,27,0.00026551283312026746,1.0,1.3814699089797582
gender=F & tag=治愈,behavior=effective_view,21,0.0002065099813157636,1.0,1.3814699089797582
gender=F & tag=记录海外生活,behavior=effective_view,21,0.0002065099813157636,1.0,1.3814699089797582
tag=王鹤棣 & tag=虞书欣,behavior=effective_view,21,0.0002065099813157636,1.0,1.3814699089797582
tag=娱你星动计划第一期 & theme=39,behavior=effective_view,21,0.0002065099813157636,1.0,1.3814699089797582
city_level=五线城市 & tag=明星,behavior=effective_view,20,0.00019667617268167962,1.0,1.3814699089797582
tag=海外,behavior=effective_view,42,0.0004130199626315272,0.9767441860465116,1.3493427017941824
tag=海外 & theme=11,behavior=effective_view,42,0.0004130199626315272,0.9767441860465116,1.3493427017941824
gender=M & tag=海外,behavior=effective_view,33,0.00032451568492477135,0.9705882352941176,1.3408384410685887
tag=天生我有戏 & tag=实力坑哥,behavior=effective_view,32,0.0003146818762906874,0.9696969696969697,1.33960718446522
tag=生活这场戏 & theme=25,behavior=effective_view,30,0.00029501425902251943,0.967741935483871,1.3369063635287983
age_group=19-25 & tag=人类幼崽成长计划,behavior=effective_view,28,0.00027534664175435147,0.9655172413793104,1.3338330155666631
gender=M & tag=心动一夏第二期,behavior=effective_view,27,0.00026551283312026746,0.9642857142857143,1.3321316979447668
gender=F & tag=揭秘,behavior=effective_view,27,0.00026551283312026746,0.9642857142857143,1.3321316979447668
city_level=四线城市 & tag=come的喂,behavior=effective_view,25,0.0002458452158520995,0.9615384615384616,1.3283364509420752
tag=和平精英 & tag=搞笑配音,behavior=effective_view,25,0.0002458452158520995,0.9615384615384616,1.3283364509420752
tag=搞笑配音 & theme=24,behavior=effective_view,25,0.0002458452158520995,0.9615384615384616,1.3283364509420752
city_level=四线城市 & tag=跑酷拉面,behavior=effective_view,25,0.0002458452158520995,0.9615384615384616,1.3283364509420752
city_level=五线城市 & tag=2022快手光合创作者大会,behavior=effective_view,25,0.0002458452158520995,0.9615384615384616,1.3283364509420752
