group_dimension,group_value,root_id,root_name_cn,exposure_count,avg_preference_score,avg_watch_ratio,like_rate,collect_rate,forward_rate
gender,F,1,舞蹈,775,0.419533454606353,0.6011424439280961,0.024516129032258065,0.007741935483870968,0.003870967741935484
gender,F,2,音乐,2011,0.3052400696427273,0.37128877844248265,0.040775733465937346,0.0104425658876181,0.0014917951268025858
gender,F,3,游戏,1743,0.385162319361545,0.5125873942081632,0.03327596098680436,0.012621916236374068,0.007458405048766495
gender,F,4,美妆,1449,0.3300992732406179,0.44386756679036166,0.022774327122153208,0.005521048999309869,0.002070393374741201
gender,F,5,穿搭,742,0.32068998326938586,0.4763744503168485,0.009433962264150943,0.0026954177897574125,0.0
gender,F,6,明星娱乐,2259,0.40911920711732047,0.5486993152112803,0.03762726870296591,0.008853474988933156,0.0017706949977866313
gender,F,7,运动,1213,0.42003873686916976,0.5934908634648766,0.026380873866446827,0.006595218466611707,0.004122011541632316
gender,F,8,颜值,264,0.4037203509468577,0.5920216553027815,0.04924242424242424,0.011363636363636364,0.0
gender,F,9,搞笑,5311,0.3897710371106348,0.5176713293078085,0.02861984560346451,0.009226134437958953,0.0028243268687629447
gender,F,10,旅游,456,0.3109470330726062,0.3843169935726531,0.019736842105263157,0.006578947368421052,0.0021929824561403508
gender,F,11,生活,2535,0.3832669471927858,0.524849187932248,0.022485207100591716,0.003155818540433925,0.0007889546351084812
gender,F,12,美食,4155,0.337663275126892,0.4359357711738126,0.014921780986762936,0.002888086642599278,0.0024067388688327317
gender,F,13,三农,941,0.3625942114039756,0.4873329860222953,0.018065887353878853,0.004250797024442083,0.003188097768331562
gender,F,14,教育,299,0.40397269571615757,0.5666134226616952,0.033444816053511704,0.013377926421404682,0.0
gender,F,15,才艺,1532,0.37288999224042657,0.4999238005690941,0.024151436031331592,0.007180156657963447,0.0026109660574412533
gender,F,16,健康,632,0.35931145066275116,0.4890113812196156,0.014240506329113924,0.007911392405063292,0.0031645569620253164
gender,F,17,动物,1072,0.39457838502075104,0.5364179700295296,0.04197761194029851,0.011194029850746268,0.0037313432835820895
gender,F,18,汽车,486,0.35707128213369316,0.4678858853085271,0.0102880658436214,0.006172839506172839,0.00411522633744856
gender,F,19,情感,1722,0.36380293977361744,0.47702756780251554,0.03426248548199768,0.007549361207897794,0.0023228803716608595
gender,F,20,二次元,1614,0.41127416322194016,0.5494237910508211,0.05390334572490706,0.013011152416356878,0.0030978934324659233
gender,F,21,历史,105,0.368935834019213,0.48652407559825106,0.02857142857142857,0.009523809523809525,0.0
gender,F,22,财经,245,0.3192534250678989,0.3803817609218615,0.0163265306122449,0.0,0.004081632653061225
gender,F,23,宗教,60,0.39745987556530404,0.5517626864414164,0.08333333333333333,0.0,0.0
gender,F,24,星座命理,168,0.4398879063956494,0.6103329136834537,0.047619047619047616,0.005952380952380952,0.011904761904761904
gender,F,25,亲子,3151,0.3968212714659122,0.5506356545640462,0.015233259282767376,0.006981910504601714,0.003808314820691844
gender,F,26,摄影,236,0.3646286735379148,0.5171597641708839,0.059322033898305086,0.00847457627118644,0.00423728813559322
gender,F,27,高新数码,157,0.372172332359504,0.5333482828088056,0.012738853503184714,0.0,0.0
gender,F,28,资讯,1071,0.4252019687004688,0.6014758968320408,0.017740429505135387,0.0056022408963585435,0.0018674136321195146
gender,F,29,科学,224,0.35582710141801355,0.45431816188129986,0.03125,0.017857142857142856,0.008928571428571428
gender,F,30,法律,156,0.3543467452387406,0.4690611432655774,0.01282051282051282,0.0,0.0
gender,F,34,随手拍,354,0.4272220550225563,0.615421264770778,0.01694915254237288,0.005649717514124294,0.0
gender,F,35,军事,70,0.3676660753756134,0.47417858019977593,0.02857142857142857,0.014285714285714285,0.0
gender,F,36,房产家居,584,0.3654134203107576,0.512943064921927,0.0136986301369863,0.005136986301369863,0.0
gender,F,37,奇人异象,151,0.34959191403476436,0.4553109495106611,0.033112582781456956,0.006622516556291391,0.0
gender,F,38,读书,443,0.3194456559871107,0.36947291498515206,0.022573363431151242,0.002257336343115124,0.004514672686230248
gender,F,39,影视和短剧,8874,0.3210295939216747,0.3818187004384697,0.023213883254451204,0.0067613252197430695,0.0033806626098715348
gender,M,1,舞蹈,954,0.41257196836730514,0.5940290223582634,0.025157232704402517,0.006289308176100629,0.0020964360587002098
gender,M,2,音乐,3816,0.2936476470570376,0.3464590153561934,0.026729559748427674,0.004979035639412998,0.003668763102725367
gender,M,3,游戏,4189,0.3702685522453781,0.48559932072960255,0.022201002625925042,0.007877775125328241,0.0016710432084029601
gender,M,4,美妆,854,0.3495293887945997,0.48165000788599566,0.01405152224824356,0.0,0.0
gender,M,5,穿搭,830,0.294634532529082,0.4250780776416012,0.008433734939759036,0.0024096385542168677,0.0012048192771084338
gender,M,6,明星娱乐,2376,0.36905035890479404,0.47917475940683746,0.015572390572390573,0.005471380471380472,0.00042087542087542086
gender,M,7,运动,2801,0.417619851307617,0.5864574458259725,0.02070689039628704,0.003927168868261335,0.0014280614066404856
gender,M,8,颜值,373,0.36575940116659017,0.5457149635694855,0.01876675603217158,0.0,0.002680965147453083
gender,M,9,搞笑,9317,0.38146534399013177,0.504223529659215,0.01728024042073629,0.004829880862938714,0.0018246216593324031
gender,M,10,旅游,1200,0.28637188038413164,0.3534004749276999,0.010833333333333334,0.0025,0.0016666666666666668
gender,M,11,生活,5452,0.376532800839003,0.5121424614937737,0.014306676449009537,0.003484959647835657,0.002384446074834923
gender,M,12,美食,4990,0.32894032011843694,0.42018801932353605,0.01503006012024048,0.0022044088176352704,0.0022044088176352704
gender,M,13,三农,2539,0.37242381781086575,0.5064146631847956,0.016148089799133517,0.00669554942890902,0.0023631350925561244
gender,M,14,教育,445,0.4312993841179798,0.6059836500998801,0.017977528089887642,0.006741573033707865,0.0022471910112359553
